"","Week","Adjusted"
"96",2022-01-23,19.9419998168945
"97",2022-01-30,22
"98",2022-02-06,22.6300003051758
"99",2022-02-13,21.6540000915527
"100",2022-02-20,20.5625
"101",2022-02-27,22.3980003356934
"102",2022-03-06,17.3799999237061
"103",2022-03-13,17.6639999389648
"104",2022-03-20,18.8720001220703
"105",2022-03-27,19.653999710083
"106",2022-04-03,18.1439998626709
"107",2022-04-10,16.6300001144409
"108",2022-04-17,15.3619997024536
"109",2022-04-24,14.0580001831055
"110",2022-05-01,14.6779996871948
"111",2022-05-08,11.3199998855591
"112",2022-05-15,13.6759996414185
"113",2022-05-22,14.1079999923706
"114",2022-05-29,13.5100002288818
"115",2022-06-05,13.4559999465942
"116",2022-06-12,11.4019998550415
"117",2022-06-19,12.9800000190735
"118",2022-06-26,12.4420001983643
"119",2022-07-03,12.7950000762939
"120",2022-07-10,11.8160001754761
"121",2022-07-17,13.7139999389648
"122",2022-07-24,13.4359998703003
"123",2022-07-31,16.123999786377
"124",2022-08-07,18.976000213623
"125",2022-08-14,19.9499996185303
"126",2022-08-21,17.1420001983643
"127",2022-08-28,16.0779996871948
"128",2022-09-04,16.664999961853
"129",2022-09-11,18.3540000915527
"130",2022-09-18,16.6839996337891
"131",2022-09-25,15.2520000457764
"132",2022-10-02,16.3120002746582
"133",2022-10-09,13.4299999237061
"134",2022-10-16,13.2720001220703
"135",2022-10-23,14.3020000457764
"136",2022-10-30,15.0300003051758
"137",2022-11-06,12.9060001373291
"138",2022-11-13,14.9939998626709
"139",2022-11-20,14.8650000095367
"140",2022-11-27,15.0539999008179
"141",2022-12-04,14.2999998092651
"142",2022-12-11,13.276000213623
"143",2022-12-18,11.6780000686646
"144",2022-12-25,11.1550002098083
"145",2023-01-01,11.4674999713898
"146",2023-01-08,13.1179998397827
"147",2023-01-15,13.8450000286102
"148",2023-01-22,14.6740001678467
"149",2023-01-29,16.0020000457764
"150",2023-02-05,16.9340003967285
"151",2023-02-12,17.7740001678467
"152",2023-02-19,19.1800003051758
"153",2023-02-26,18.7200000762939
"154",2023-03-05,19.0840000152588
"155",2023-03-12,18.1340000152588
"156",2023-03-19,17.6719997406006
"157",2023-03-26,18.5100002288818
"158",2023-04-02,18.5599999427795
"159",2023-04-09,18.7560001373291
"160",2023-04-16,21.0299995422363
"161",2023-04-23,21.1400001525879
"162",2023-04-30,22.4880001068115
"163",2023-05-07,24.0840000152588
"164",2023-05-14,23.4720001220703
"165",2023-05-21,24.1419998168945
"166",2023-05-28,23.9950003623962
"167",2023-06-04,25.3679996490479
"168",2023-06-11,25.2419998168945
"169",2023-06-18,25.0575003623962
"170",2023-06-25,25.9279998779297
"171",2023-07-02,26.0524997711182
"172",2023-07-09,30.0319995880127
"173",2023-07-16,31.0280002593994
"174",2023-07-23,31.2880001068115
"175",2023-07-30,31.0599998474121
"176",2023-08-06,29.7479995727539
"177",2023-08-13,27.5940002441406
"178",2023-08-20,27.5479999542236
"179",2023-08-27,29.1919998168945
"180",2023-09-03,30.7850003242493
"181",2023-09-10,31.1440002441406
"182",2023-09-17,29.5779998779297
"183",2023-09-24,28.5340003967285
"184",2023-10-01,28.7160003662109
"185",2023-10-08,29.7199996948242
"186",2023-10-15,28.6799995422363
"187",2023-10-22,27.5099998474121
"188",2023-10-29,28.9
"189",2023-11-05,35.3819999694824
"190",2023-11-12,36.9819999694824
"191",2023-11-19,38.5725002288818
"192",2023-11-26,38.5120002746582
"193",2023-12-03,36.1939994812012
"194",2023-12-10,36.4119995117187
"195",2023-12-17,35.2120002746582
"196",2023-12-24,35.6149997711182
"197",2023-12-31,32.9625005722046
"198",2024-01-07,33.5600006103516
"199",2024-01-14,35.9724998474121
"200",2024-01-21,38.3719993591309
"201",2024-01-28,40.2980003356934
"202",2024-02-04,42.4960006713867
"203",2024-02-11,43.8419998168945
"204",2024-02-18,41.0474996566772
"205",2024-02-25,42.2019996643066
"206",2024-03-03,42.6880004882812
"207",2024-03-10,42.0180000305176
"208",2024-03-17,45.7440002441406
"209",2024-03-24,46.6899995803833
"210",2024-03-31,45.3959991455078
"211",2024-04-07,45.1379997253418
"212",2024-04-14,42.6379997253418
"213",2024-04-21,41.3659996032715
"214",2024-04-28,42.2019996643066
"215",2024-05-05,43.4959999084473
"216",2024-05-12,44.5340003967285
